id,note,translate
16,"A gleaming warrior in cursed plate, its blade cuts honor and hope alike in ruthless duels.","Un guerriero splendente con una corazza maledetta, la cui lama taglia allo stesso modo onore e speranza in duelli spietati."
17,"A gaunt sorcerer with sunken eyes, it warps reality with forbidden incantations and crackling curses.","Uno stregone scarno dagli occhi infossati, che deforma la realtà con incantesimi proibiti e maledizioni scoppiettanti."
18,"A scaled ascetic whose fists blaze like embers, it shatters ribs with a single breath-charged blow.","Un asceta dotato di squame, i cui pugni ardono come braci e fracassano le costole con un solo colpo sparato con un solo respiro."
19,"A ghostly marksman loosed from the veil, its spectral arrows pass through flesh to pierce the heart.","Un tiratore spettrale liberato dal velo, le sue frecce spettrali attraversano la carne per trafiggere il cuore."
20,"A wraith in human guise, it steals coin and life force alike without a whisper of warning.","Uno spettro in sembianze umane, ruba denaro e forza vitale senza il minimo preavviso."
21,"A yawning fiend swathed in nightmares, it lulls victims with hypnotic embers before incinerating them.","Un demone sbadigliante avvolto negli incubi, culla le sue vittime con braci ipnotiche prima di incenerirle."
22,"A colossal wyrm of glacial scales, its icy roar freezes landscapes and crushes hope beneath clawed feet.","Un drago colossale dalle scaglie glaciali, il cui ruggito gelido congela i paesaggi e schiaccia la speranza sotto i suoi piedi artigliati."
23,"An eldritch conduit to nothingness, its void-fire blasts unravel flesh and sanity in equal measure.","Un canale soprannaturale verso il nulla, le sue esplosioni di fuoco vuoto distruggono carne e sanità mentale in egual misura."
24,"A towering blade-warden in gilded armor, it lays waste to armies with disciplined fury.","Un imponente guardiano della lama in armatura dorata, che devasta gli eserciti con furia disciplinata."
25,"A decrepit sovereign of bones, it weaves death magic that corrodes flesh and curses the soul.","Un decrepito sovrano di ossa, tesse una magia di morte che corrode la carne e maledice l'anima."
26,Lovecraftian fungoid alien that collects brains,Alieno fungoide lovecraftiano che colleziona cervelli
27,Lovecraftian fish-human hybrid from Innsmouth,Ibrido pesce-umano lovecraftiano di Innsmouth
28,Lesser manifestation of the Outer God of time and space,Manifestazione minore del Dio Esterno del tempo e dello spazio
29,Ancient half-angel being from forgotten texts,Antico essere semi-angelo da testi dimenticati
30,Crowley's Holy Guardian Angel entity,L'entità del Santo Angelo Custode di Crowley
31,Crowley's demon of dispersion and ego dissolution,Il demone della dispersione e della dissoluzione dell'ego di Crowley
32,Interdimensional alien entity from Zeta Reticuli system,Entità aliena interdimensionale del sistema Zeta Reticuli
33,Manifestation of the Crawling Chaos,Manifestazione del Caos Strisciante
34,Crowley's scarlet woman archetype,L'archetipo della donna scarlatta di Crowley
35,Ancient alien ruler from Sumerian mythology,Antico sovrano alieno della mitologia sumera
36,Lovecraftian protoplasmic shapeshifter,Mutaforma protoplasmatico lovecraftiano
37,Ancient alien race from Lovecraft's At the Mountains of Madness,"Antica razza aliena da ""Alle montagne della follia"" di Lovecraft"
38,Crowley's great beast persona made manifest,La grande personalità bestiale di Crowley si è manifestata
39,Entity from Chambers' The King in Yellow,Entità da Il re in giallo di Chambers
40,Manifestation of the blind idiot god at the center of the universe,Manifestazione del dio cieco idiota al centro dell'universo
41,Advanced warrior with mechanical augmentations,Guerriero avanzato con potenziamenti meccanici
42,Unstable entity from between realities,Entità instabile tra le realtà
43,The most pathetically weak enemy you'll ever face,Il nemico più pateticamente debole che incontrerai mai
44,Sentient doorway that somehow walks and speaks,Porta senziente che in qualche modo cammina e parla
45,Living embodiment of red tape and paperwork,L'incarnazione vivente della burocrazia e della burocrazia
46,Somehow gained consciousness and a taste for violence,In qualche modo ha acquisito consapevolezza e gusto per la violenza
47,Office worker trapped in endless internship limbo,Impiegato intrappolato in un limbo infinito di tirocinio
48,Entity caught in an eternal logical loop,Entità intrappolata in un eterno ciclo logico
49,Stealthy assassin working for mega-corporations,Assassino furtivo che lavora per le mega-corporazioni
50,Animated Crayona that ignores physical laws,Crayona animato che ignora le leggi fisiche
51,Dinosaur from space with cosmic powers,Dinosauro dallo spazio con poteri cosmici
52,Terrifyingly positive entity that can inspire even foes,Un'entità terrificantemente positiva che può ispirare persino i nemici
53,Undead entity stuck in the 1970s,Entità non morta bloccata negli anni '70
54,Visitor from another dimension who got lost,Visitatore da un'altra dimensione che si è perso
55,Fourth-dimensional entity that defies physical perception,Entità quadridimensionale che sfida la percezione fisica
56,Internet joke that gained consciousness and physical form,Barzelletta di Internet che ha acquisito coscienza e forma fisica
57,Television personality with reality-warping powers,Personaggio televisivo con poteri di distorsione della realtà
58,Rogue AI that has manifested a physical form,IA canaglia che ha manifestato una forma fisica
59,Undead entity that debates existentialism while fighting,Entità non morta che dibatte sull'esistenzialismo mentre combatte
60,Digital anomaly that crossed into the physical world,Anomalia digitale che ha attraversato il mondo fisico
61,Warrior from the future who exists in multiple states,Guerriero del futuro che esiste in più stati
62,Bear entity that feeds on time itself,Entità orso che si nutre del tempo stesso
63,Advertisement that gained sentience and aggression,Pubblicità che ha acquisito sensibilità e aggressività
64,Sentient equation that warps reality around it,Equazione senziente che deforma la realtà attorno a sé
65,A sentient slime creature that has formed armor and wields a weapon.,Una creatura viscida e senziente che ha creato un'armatura e brandisce un'arma.
66,A mystical witch of the forest who uses nature and sleep magic.,Una strega mistica della foresta che usa la magia della natura e del sonno.
67,An ancient mechanical construct with earth-shattering capabilities.,Un antico costrutto meccanico con capacità sconvolgenti.
68,"A spectral being born from thunderstorms, capable of electric devastation.","Un essere spettrale nato dai temporali, capace di provocare devastazioni elettriche."
69,A mesmerizing crystal being that can charm and silence enemies.,Un affascinante essere di cristallo in grado di ammaliare e mettere a tacere i nemici.
70,"A common woodland rodent, slightly larger and more aggressive than normal.","Un roditore comune dei boschi, leggermente più grande e aggressivo del normale."
71,A low-level urban troublemaker with basic fighting skills.,Un attaccabrighe urbano di basso livello con abilità di combattimento di base.
72,"A small, mass-produced security or surveillance robot.",Un piccolo robot di sicurezza o sorveglianza prodotto in serie.
73,"A recently turned undead, slow but persistent.","Un non-morto recentemente trasformato, lento ma persistente."
74,A novice space explorer with basic combat training.,Un esploratore spaziale alle prime armi con addestramento di combattimento di base.
75,"A small, aggressive insectoid creature with sharp claws.",Una piccola e aggressiva creatura insettoide dotata di artigli affilati.
76,"A nimble little goblin skilled in quick, precise strikes.",Un piccolo goblin agile e abile nei colpi rapidi e precisi.
77,A low-ranking member of a mysterious and sinister cult.,Un membro di basso rango di una setta misteriosa e sinistra.
78,"An ancient being that embodies the raw power of time itself, capable of rewriting reality.","Un essere antico che incarna il potere grezzo del tempo stesso, capace di riscrivere la realtà."
79,A cosmic entity that manipulates darkness and incomprehensible truths beyond mortal understanding.,Un'entità cosmica che manipola l'oscurità e verità incomprensibili che vanno oltre la comprensione mortale.
80,"An ancient living construct of stone and earth, older than civilization itself.","Un'antica costruzione vivente di pietra e terra, più antica della civiltà stessa."
81,A multidimensional being that exists simultaneously across infinite possible realities.,Un essere multidimensionale che esiste simultaneamente in infinite realtà possibili.
82,"A manifestation of divine power, bridging the gap between mortal comprehension and cosmic forces.","Una manifestazione del potere divino, che colma il divario tra la comprensione mortale e le forze cosmiche."
83,"A cosmic serpent that consumes and distorts arcane energy, threatening the very fabric of existence.","Un serpente cosmico che consuma e distorce l'energia arcana, minacciando il tessuto stesso dell'esistenza."
84,A legendary Karate master with decades of combat experience and unparalleled technique.,Un leggendario maestro di karate con decenni di esperienza di combattimento e una tecnica senza pari.
85,"A world-renowned Capoeira fighter known for his fluid, dance-like combat style and devastating kicks.","Un combattente di Capoeira di fama mondiale, noto per il suo stile di combattimento fluido e simile a una danza, e per i suoi calci devastanti."
86,A former boxing champion with devastating punching power and an unbreakable spirit.,Un ex campione di pugilato dotato di pugni dalla potenza devastante e di uno spirito indistruttibile.
87,A Wing Chun grandmaster with extraordinary defensive skills and lightning-fast counter-attacks.,Un gran maestro di Wing Chun dotato di straordinarie capacità difensive e contrattacchi fulminei.
88,A legendary Muay Thai fighter renowned for his devastating knee and elbow techniques.,"Un leggendario combattente di Muay Thai, famoso per le sue devastanti tecniche di ginocchia e gomitate."
89,A PSI master with unparalleled fluid combat movements and psychological warfare techniques.,Un maestro PSI dotato di movimenti di combattimento fluidi e tecniche di guerra psicologica senza pari.
90,A dark sorceress who manipulates blood magic and harvests life essence from her victims.,Una strega oscura che manipola la magia del sangue e raccoglie l'essenza vitale dalle sue vittime.
91,A master of psychological manipulation who breaks minds as easily as casting spells.,Un maestro della manipolazione psicologica che spezza le menti con la stessa facilità con cui lancia incantesimi.
92,A witch who manipulates perceptions and traps souls in nightmarish alternate realities.,Una strega che manipola le percezioni e intrappola le anime in realtà alternative da incubo.
93,"A witch who commands plagues, poisons, and can silence her enemies with deadly magic.",Una strega che comanda pestilenze e veleni e può mettere a tacere i suoi nemici con una magia mortale.
94,A mystic who can trap victims in recursive dreams and unravel their sanity.,Un mistico che può intrappolare le vittime in sogni ricorsivi e compromettere la loro sanità mentale.
95,"A witch who channels the raw, destructive power of the void, warping reality itself.","Una strega che canalizza il potere grezzo e distruttivo del vuoto, deformando la realtà stessa."
96,"A colossal elemental construct of living magma, encased in volcanic rock armor.","Un colossale costrutto elementare di magma vivente, racchiuso in un'armatura di roccia vulcanica."
97,"A massive elemental being of living ice, its body a fortress of frozen crystal and unbreakable frost.","Un enorme essere elementale fatto di ghiaccio vivente, il cui corpo è una fortezza di cristallo ghiacciato e gelo infrangibile."
98,"A thunderous elemental giant, crackling with electrical energy and armored in lightning-forged plates.","Un gigante elementale tonante, scoppiettante di energia elettrica e rivestito di corazze forgiate dai fulmini."
99,"A colossal water elemental, its body a living current of crushing hydraulic pressure.","Un colossale elementare d'acqua, il cui corpo è una corrente vivente di schiacciante pressione idraulica."
100,"A mountain-like elemental construct of living stone, immovable and devastatingly powerful.","Una costruzione elementare simile a una montagna, fatta di pietra viva, immobile e devastantemente potente."
101,"A massive elemental composed of swirling hurricane winds, its form a living tempest of destruction.","Un enorme elementale composto da vorticosi venti da uragano, la cui forma è una tempesta vivente di distruzione."
102,"A rare shapeshifting creature that appears as a treasure chest, packed with valuable loot.","Una rara creatura mutaforma che appare come uno scrigno del tesoro, pieno di bottino di valore."
103,A mysterious entity that seems to carry the accumulated wealth of multiple merchants.,Un'entità misteriosa che sembra trasportare la ricchezza accumulata da numerosi mercanti.
104,A crystalline being that has accumulated treasures from countless adventurers throughout centuries.,Un essere cristallino che ha accumulato tesori da innumerevoli avventurieri nel corso dei secoli.
105,"An animated construct made entirely of treasure, protecting its accumulated wealth.","Una costruzione animata realizzata interamente con tesori, che protegge la ricchezza accumulata."
106,"A rare ethereal being that embodies fortune itself, materializing valuable treasures.","Un raro essere etereo che incarna la fortuna stessa, materializzando tesori preziosi."
107,A multidimensional entity that guards treasures from across multiple realities.,Un'entità multidimensionale che custodisce tesori provenienti da molteplici realtà.
108,"A common sewer rat. Fast but weak, it can occasionally blind its opponents with dirt or create small nuisance magic.","Un comune ratto di fogna. Veloce ma debole, può occasionalmente accecare i suoi avversari con la terra o creare piccoli effetti magici."
109,A skilled archer who blends into forest environments for ambush attacks,Un arciere esperto che si mimetizza negli ambienti forestali per attacchi di imboscata
110,Serpent-haired woman with a petrifying gaze,Donna dai capelli serpentini con uno sguardo pietrificante
111,Once a noble warrior now consumed by darkness,"Un tempo nobile guerriero, ora consumato dall'oscurità"
112,Living manifestation of fire with a volatile temperament,Manifestazione vivente del fuoco dal temperamento volatile
113,Fluid being composed of living water that can change shape at will,Fluido composto da acqua viva che può cambiare forma a piacimento
114,Living stone creature with tremendous strength and endurance,Creatura di pietra vivente con una forza e una resistenza straordinarie
115,Barely visible entity of swirling winds with great speed and agility,Entità appena visibile di venti vorticosi con grande velocità e agilità
116,Ancient undead noble who feeds on blood and commands the night,Antico nobile non morto che si nutre di sangue e comanda la notte
117,Demonic entity summoned from the darkest depths of the underworld,Entità demoniaca evocata dalle profondità più oscure degli inferi
118,Reptilian monster with multiple heads that grow back when severed,Mostro rettiliano con più teste che ricrescono quando vengono mozzate
119,Bull-headed humanoid with immense strength and a battle axe,Umanoide dalla testa di toro con immensa forza e un'ascia da battaglia
120,Bioluminescent creature that can control minds with hypnotic light patterns,Creatura bioluminescente in grado di controllare le menti con modelli di luce ipnotici
121,"Half-human, half-machine warrior with advanced combat capabilities",Guerriero metà umano e metà macchina con capacità di combattimento avanzate
122,Autonomous flying machine equipped with advanced weaponry,Macchina volante autonoma dotata di armamenti avanzati
123,Heavy combat robot with powerful ranged and melee capabilities,Robot da combattimento pesante con potenti capacità a distanza e in mischia
124,Legendary fire bird that rises from its own ashes when defeated,Leggendario uccello di fuoco che risorge dalle proprie ceneri quando viene sconfitto
125,Powerful winged reptile with devastating breath weapons and ancient knowledge,Potente rettile alato con armi di respiro devastanti e antica conoscenza
126,Ghostly ball of light that leads travelers astray and drains life force,Sfera di luce spettrale che fuorvia i viaggiatori e prosciuga la forza vitale
127,"Massive, strong humanoid with thick skin and primitive but devastating attacks",Umanoide massiccio e forte con pelle spessa e attacchi primitivi ma devastanti
128,"A common woodland rodent, slightly larger and more aggressive than normal.","Un roditore comune dei boschi, leggermente più grande e aggressivo del normale."
129,A common predator that hunts in packs. Swift and dangerous when hungry.,Un predatore comune che caccia in branco. Veloce e pericoloso quando ha fame.
130,A powerful forest predator with immense strength and thick fur.,Un potente predatore della foresta dotato di immensa forza e folta pelliccia.
131,A deadly reptile with potent venom that can blind and poison its prey.,Un rettile mortale dotato di un veleno potente che può accecare e avvelenare la preda.
132,An aggressive forest dweller with sharp tusks and a bad temper.,"Un abitante aggressivo delle foreste, dotato di zanne affilate e di un pessimo carattere."
133,A stealthy jungle predator with incredible agility and sharp claws.,Un predatore furtivo della giungla dotato di incredibile agilità e artigli affilati.
134,A majestic bird of prey with razor-sharp talons and exceptional vision.,Un maestoso uccello rapace dotato di artigli affilati come rasoi e di una vista eccezionale.
135,A mischievous forest dweller that throws objects and can temporarily blind enemies.,Un dispettoso abitante della foresta che lancia oggetti e può accecare temporaneamente i nemici.
136,A dangerous desert arachnid with a venomous stinger and powerful pincers.,Un pericoloso aracnide del deserto dotato di un pungiglione velenoso e di chele potenti.
137,A powerful jungle predator with incredible strength and sharp fangs.,Un potente predatore della giungla dotato di una forza incredibile e di zanne affilate.
138,A nocturnal flying mammal that can drain small amounts of blood from its victims.,Un mammifero volante notturno in grado di succhiare piccole quantità di sangue dalle sue vittime.
139,A proud forest herbivore with impressive antlers that can deliver powerful charges.,"Un fiero erbivoro delle foreste dotato di corna imponenti, in grado di sferrare potenti cariche."
140,The king of beasts with devastating attacks and a terrifying roar.,Il re degli animali con attacchi devastanti e un ruggito terrificante.
141,A massive arachnid that hunts with poisonous fangs and sticky webs.,Un enorme aracnide che caccia con zanne velenose e ragnatele appiccicose.
142,An ancient reptilian predator with powerful jaws and armored skin.,Un antico predatore rettiliano dotato di potenti mascelle e pelle corazzata.
143,A cunning forest predator known for its speed and intelligence.,"Un astuto predatore della foresta, noto per la sua velocità e intelligenza."
144,A massive herbivore with thick skin and a dangerous horn used for charging.,"Un enorme erbivoro dalla pelle spessa e dotato di un pericoloso corno, usato per caricare."
145,A translucent sea creature with paralyzing tentacles.,Una creatura marina traslucida con tentacoli paralizzanti.
146,A massive scavenger bird with powerful wings that can create gusts of wind.,Un enorme uccello spazzino dotato di ali potentissime in grado di creare raffiche di vento.
147,A fierce feline predator that can deliver multiple attacks in quick succession.,Un feroce predatore felino in grado di sferrare molteplici attacchi in rapida successione.
148,A massive predatory lizard with venomous saliva and razor-sharp teeth.,Un'enorme lucertola predatrice dotata di saliva velenosa e denti affilati come rasoi.
149,"The fastest animal alive, capable of diving at incredible speeds to strike prey.","L'animale più veloce al mondo, capace di tuffarsi a velocità incredibili per colpire la preda."
150,An enormous and aggressive bear with incredible strength and resilience.,"Un orso enorme e aggressivo, dotato di incredibile forza e resistenza."
151,A large predatory reptile with a powerful tail and sharp claws.,Un grande rettile predatore dotato di una coda potente e artigli affilati.
152,A hairy spider with potent venom and aggressive hunting behavior.,Un ragno peloso dotato di un veleno potente e di un comportamento di caccia aggressivo.
153,The massive leader of a dire wolf pack. Twice the size of normal wolves with unnaturally sharp fangs and a devastating howl that terrifies prey.,"L'imponente capo di un branco di lupi temibili. Due volte più grande dei lupi normali, con zanne innaturalmente affilate e un ululato devastante che terrorizza le prede."
154,An enormous prehistoric elephant with tusks wreathed in supernatural flames. Its hide is nearly impenetrable and its charge unstoppable.,Un enorme elefante preistorico con le zanne avvolte da fiamme soprannaturali. La sua pelle è quasi impenetrabile e la sua carica inarrestabile.
155,A colossal serpent capable of crushing even the largest prey. Its venom causes paralysis and its constriction can shatter bone.,Un serpente colossale in grado di schiacciare anche le prede più grandi. Il suo veleno provoca paralisi e la sua costrizione può frantumare le ossa.
156,"A prehistoric shark of colossal size, thought extinct until now. Its jaws can snap ships in half and its presence causes tidal waves.","Uno squalo preistorico di dimensioni colossali, ritenuto estinto fino ad ora. Le sue fauci possono spezzare le navi in ​​due e la sua presenza provoca maremoti."
157,A nightmarish predator with fangs longer than swords. Its roar alone can cause paralysis and its speed defies comprehension.,Un predatore da incubo con zanne più lunghe di una spada. Il suo ruggito può causare paralisi e la sua velocità sfida ogni comprensione.
158,"A mutated scorpion of terrifying proportions. Its venom is the most potent neurotoxin known, and its armored exoskeleton deflects most attacks.",Uno scorpione mutante di proporzioni terrificanti. Il suo veleno è la neurotossina più potente conosciuta e il suo esoscheletro corazzato respinge la maggior parte degli attacchi.
159,"A draconic beast that nests in active volcanoes. Its scales are forged in magma, and its breath can melt stone in seconds.",Una bestia draconica che nidifica nei vulcani attivi. Le sue squame sono forgiate nel magma e il suo respiro può fondere la pietra in pochi secondi.
160,An abominable mutation that has grown to the size of a house. Capable of draining a human dry in seconds through multiple feeding tubes.,Una mutazione abominevole che ha raggiunto le dimensioni di una casa. Capace di prosciugare un essere umano in pochi secondi attraverso molteplici tubi di alimentazione.
161,An ancient reptile the size of a ship with jaws that can crush steel. It has survived since prehistoric times and developed terrifying intelligence.,"Un antico rettile grande quanto una nave, con fauci capaci di frantumare l'acciaio. È sopravvissuto fin dalla preistoria e ha sviluppato un'intelligenza terrificante."
162,"A titanic bird of prey that creates storms with its wings. Its talons can lift adult elephants, and its cry shatters eardrums.",Un rapace titanico che scatena tempeste con le sue ali. I suoi artigli possono sollevare elefanti adulti e il suo grido frantuma i timpani.
163,"A nightmarish arachnid from the deepest caverns. Its webs are stronger than steel cables, and its venom liquefies organs instantly.",Un aracnide da incubo proveniente dalle caverne più profonde. Le sue ragnatele sono più resistenti dei cavi d'acciaio e il suo veleno liquefa gli organi all'istante.
164,"A primeval great ape standing twenty feet tall. Its fists can level buildings, and its territorial rage is unstoppable.",Una grande scimmia primordiale alta sei metri. I suoi pugni possono radere al suolo edifici e la sua furia territoriale è inarrestabile.
165,A monstrous cephalopod with hundreds of tentacles. Legend claims it can drag entire ships to the ocean floor with ease.,Un cefalopode mostruoso con centinaia di tentacoli. La leggenda narra che possa trascinare facilmente intere navi sul fondo dell'oceano.
166,"A corrupted bear of monstrous proportions with blood-red fur. Its roar induces terror, and its claws can shred steel like paper.",Un orso corrotto di proporzioni mostruose con pelliccia rosso sangue. Il suo ruggito incute terrore e i suoi artigli possono lacerare l'acciaio come carta.
167,"A massive bat with a 30-foot wingspan. It has evolved to drain more than blood—it can absorb life force directly, leaving withered husks behind.","Un pipistrello enorme con un'apertura alare di 9 metri. Si è evoluto per drenare più del solo sangue: può assorbire direttamente la forza vitale, lasciando dietro di sé gusci avvizziti."
168,"An ethereal predator that appears only during blood moons. Its fangs can pierce spiritual defenses, and it can move through solid objects.",Un predatore etereo che appare solo durante le lune di sangue. Le sue zanne possono penetrare le difese spirituali e può muoversi attraverso oggetti solidi.
169,"A prehistoric rhinoceros-like beast standing 25 feet tall at the shoulder. Its charge can level forests, and its hide is nearly impenetrable.","Una bestia preistorica simile a un rinoceronte, alta quasi 7,6 metri al garrese. La sua carica può radere al suolo intere foreste e la sua pelle è quasi impenetrabile."
170,"A mythical serpent so vast its body could encircle mountains. Ancient texts speak of it sleeping beneath the world, its movements causing earthquakes.",Un serpente mitico così grande che il suo corpo poteva circondare le montagne. I testi antichi ne parlano come di un serpente che dorme sottoterra e che i suoi movimenti causano terremoti.
171,A hybrid creature combining elements of sea serpents and ancient dragons. It can create whirlpools with its movement and breathe both ice and pressurized water.,Una creatura ibrida che combina elementi di serpenti marini e draghi antichi. Può creare vortici con il suo movimento e respirare sia ghiaccio che acqua pressurizzata.
172,"One of the first beasts to walk the earth, preserved through unknown means. Its footsteps cause earthquakes, and its primal magic warps reality around it.","Una delle prime bestie a camminare sulla terra, preservata con mezzi ignoti. I suoi passi causano terremoti e la sua magia primordiale distorce la realtà attorno a sé."
173,"A living capacitor of raw electricity, it surges through veins and machinery with crackling delight.","Un condensatore vivente di pura elettricità, che scorre nelle vene e nei macchinari con crepitante piacere."
174,"A terrifyingly powerful dragon that has lived for millennia. It has mastered temporal magic, allowing it to manipulate time itself. It can cast powerful magic while maintaining physical attacks. Phase 1: Physical attacks, Phase 2: Temporal magic that increases its own speed, Phase 3: Reality distortion.","Un drago terrificantemente potente che vive da millenni. Ha padroneggiato la magia temporale, che gli permette di manipolare il tempo stesso. Può lanciare potenti magie mantenendo attacchi fisici. Fase 1: Attacchi fisici, Fase 2: Magia temporale che aumenta la propria velocità, Fase 3: Distorsione della realtà."
175,"An ancient vampire lord who has mastered blood magic. Can drain life, summon minions, and inflict deadly status effects. It regenerates health each turn and becomes more powerful as the battle progresses. When below 30% health, enters a frenzied state with increased attack speed.","Un antico signore dei vampiri che padroneggia la magia del sangue. Può prosciugare la vita, evocare servitori e infliggere effetti di stato letali. Rigenera salute a ogni turno e diventa più potente con il progredire della battaglia. Quando la salute scende sotto il 30%, entra in uno stato di frenesia con velocità d'attacco aumentata."
176,"A cosmic horror that exists partially outside reality. It creates reality distortions that cause random status effects each turn. Periodically summons mini-spheres that explode after 3 turns, dealing massive damage. Becomes invulnerable every 5th turn, requiring specific timing to defeat.","Un orrore cosmico che esiste parzialmente al di fuori della realtà. Crea distorsioni della realtà che causano effetti di stato casuali a ogni turno. Evoca periodicamente mini-sfere che esplodono dopo 3 turni, infliggendo danni ingenti. Diventa invulnerabile ogni 5 turni, e richiede un tempismo specifico per essere sconfitto."
177,"A martial arts master who has merged with dragon essence, gaining immense power. Uses devastating combo attacks that hit multiple times. Can counter attacks automatically. Every fourth turn, enters a meditative state that fully heals but makes vulnerable for one turn - the key to defeating it.","Un maestro di arti marziali che si è fuso con l'essenza del drago, ottenendo un potere immenso. Utilizza devastanti attacchi combo che colpiscono più volte. Può contrattaccare automaticamente. Ogni quattro turni, entra in uno stato meditativo che guarisce completamente ma lo rende vulnerabile per un turno: la chiave per sconfiggerlo."
178,A charismatic entity that can manipulate reality through words alone. Continuously boosts its own stats while debuffing the party. Can actually charm party members to fight for it temporarily. Periodically gives 'inspirational speeches' that randomly reverse all stat modifications in battle - can be exploited with proper timing.,"Un'entità carismatica in grado di manipolare la realtà attraverso le parole. Aumenta costantemente le proprie statistiche mentre indebolisce il gruppo. Può persino ammaliare i membri del gruppo per convincerli a combattere per lui temporaneamente. Pronunzia periodicamente ""discorsi motivazionali"" che invertono casualmente tutte le modifiche alle statistiche in battaglia: può essere sfruttato con il giusto tempismo."
179,A cosmic serpent that consumes energy and magic. Each turn it absorbs a portion of the party's MP. Has three distinct phases with different elemental vulnerabilities that cycle every 4 turns. Can inflict curse status that prevents healing. Players must use specific element types at specific times to deal significant damage.,Un serpente cosmico che consuma energia e magia. A ogni turno assorbe una parte dei PM del gruppo. Ha tre fasi distinte con diverse vulnerabilità elementali che si alternano ogni 4 turni. Può infliggere uno stato di maledizione che impedisce la guarigione. I giocatori devono usare tipi di elemento specifici in momenti specifici per infliggere danni significativi.
180,"An advanced war machine with adaptive defense systems. Has shields that make it immune to the most recently used damage type. Every third turn activates different weapon systems with unique effects. Has backup power systems that activate at 30% health, restoring 25% HP and increasing attack. Can be defeated by alternating attack types strategically.","Una macchina da guerra avanzata con sistemi di difesa adattivi. Ha scudi che la rendono immune al tipo di danno usato più di recente. Ogni terzo turno attiva diversi sistemi d'arma con effetti unici. Ha sistemi di alimentazione di riserva che si attivano al 30% di salute, ripristinando il 25% di HP e aumentando l'attacco. Può essere sconfitto alternando strategicamente i tipi di attacco."
181,"A fourth-dimensional entity that phases in and out of reality. When it phases out (every fourth turn), all attacks miss, but it's vulnerable to specific magic types when it reappears. Creates reality distortions that randomly swap party members' positions and abilities. Players must coordinate attacks during its vulnerable phases.","Un'entità quadridimensionale che appare e scompare dalla realtà. Quando scompare (ogni quarto turno), tutti gli attacchi falliscono, ma è vulnerabile a specifici tipi di magia quando riappare. Crea distorsioni della realtà che scambiano casualmente le posizioni e le abilità dei membri del gruppo. I giocatori devono coordinare gli attacchi durante le sue fasi di vulnerabilità."
182,"A divine manifestation that channels cosmic forces. Alternates between offensive and defensive stances. In offensive stance, deals massive damage but is vulnerable. In defensive stance, reflects all magic damage. Summons celestial guardians that must be defeated quickly or they heal the avatar. The key is to attack during offensive stance and focus on guardians during defensive stance.","Una manifestazione divina che incanala le forze cosmiche. Alterna posizioni offensive e difensive. In posizione offensiva, infligge danni ingenti ma è vulnerabile. In posizione difensiva, riflette tutti i danni magici. Evoca guardiani celestiali che devono essere sconfitti rapidamente o guariscono l'avatar. La chiave è attaccare durante la posizione offensiva e concentrarsi sui guardiani durante la posizione difensiva."
