id,name,note,category,drop1_id,drop1_name,drop1_probability,drop2_id,drop2_name,drop2_probability
26,"Mi-go Brain Harvester","LV: 61 | Lovecraftian fungoid alien that collects brains<Char:$Sporvox>
<Archetype: Mushroom>
<Biome: Eldritch Dimension, Mushroom Forest, Secret Laboratory, Underdark>
<Speed: 1>
<Movement: Fixed>
<It: Alieno fungoide lovecraftiano che colleziona cervelli>",plant,0576,"Herb extract",1/5,,"",
27,"Deep One Hybrid","LV: 64 | Lovecraftian fish-human hybrid from Innsmouth<Char:$BloodyAbomination>
<Archetype: Mutant>
<Biome: Coastal>
<Speed: 3>
<Movement: Random>
<It: Ibrido pesce-umano lovecraftiano di Innsmouth>",biological,0573,"Bone",1/5,,"",
28,"Yog-Sothoth Spawn","LV: 76 | Lesser manifestation of the Outer God of time and space<Char:$PointedDemonspawn>
<Archetype: Voidspawn>
<Biome: Cursed Lands, Eldritch Dimension, Underdark>
<Speed: 3>
<Movement: Random>
<It: Manifestazione minore del Dio Esterno del tempo e dello spazio>",biological,0571,"Leather",1/5,,"",
29,"Nephilim Remnant","LV: 79 | Ancient half-angel being from forgotten texts<Char:$Aelrik>
<Archetype: Voidspawn>
<Biome: Ancient Crypt, Eldritch Dimension, Underdark>
<Speed: 3>
<Movement: Random>
<It: Antico essere semi-angelo da testi dimenticati>",biological,0573,"Bone",1/4,,"",
30,"Aiwass Messenger","LV: 73 | Crowley's Holy Guardian Angel entity<Char:$BlinkDog>
<Archetype: Voidspawn>
<Biome: Eldritch Dimension, Ruins, Secret Laboratory, Underdark>
<Speed: 3>
<Movement: Random>
<It: L'entità del Santo Angelo Custode di Crowley>",biological,0573,"Bone",1/4,,"",
31,"Choronzon","LV: 88 | Crowley's demon of dispersion and ego dissolution<Char:$ClawedAbomination>
<Archetype: Voidspawn>
<Biome: Cursed Lands, Eldritch Dimension, Underdark>
<Speed: 3>
<Movement: Random>
<It: Il demone della dispersione e della dissoluzione dell'ego di Crowley>",biological,0571,"Leather",1/4,,"",
32,"Grey Zeta Reticulan","LV: 77 | Interdimensional alien entity from Zeta Reticuli system<Char:$UnwrappedLurcher>
<Archetype: Humanoid>
<Biome: Astral Plane>
<Speed: 3>
<Movement: Approach>
<It: Entità aliena interdimensionale del sistema Zeta Reticuli>",biological,0573,"Bone",1/5,0574,"Meat",1/4
33,"Nyarlathotep Avatar","LV: 103 | Manifestation of the Crawling Chaos<Char:$UnwrappedLurcher>
<Archetype: Voidspawn>
<Biome: Eldritch Dimension, Underdark>
<Speed: 3>
<Movement: Random>
<It: Manifestazione del Caos Strisciante>",biological,0571,"Leather",1/4,0573,"Bone",1/5
34,"Babalon Priestess","LV: 93 | Crowley's scarlet woman archetype<Char:$VampireThrall>
<Archetype: Humanoid>
<Biome: Cultist Lair>
<Speed: 3>
<Movement: Approach>
<It: L'archetipo della donna scarlatta di Crowley>",biological,0571,"Leather",1/5,,"",
35,"Annunaki Overlord","LV: 115 | Ancient alien ruler from Sumerian mythology<Char:$Zazthul>
<Archetype: Voidspawn>
<Biome: Ancient Crypt, Eldritch Dimension, Underdark>
<Speed: 3>
<Movement: Random>
<It: Antico sovrano alieno della mitologia sumera>",biological,0574,"Meat",1/4,,"",
36,"Shoggoth","LV: 129 | Lovecraftian protoplasmic shapeshifter<Char:$IntellectDevourer>
<Archetype: Voidspawn>
<Biome: Eldritch Dimension, Underdark>
<Speed: 3>
<Movement: Random>
<It: Mutaforma protoplasmatico lovecraftiano>",biological,0574,"Meat",1/4,0571,"Leather",1/5
37,"Elder Thing","LV: 119 | Ancient alien race from Lovecraft's At the Mountains of Madness<Char:$GhastlyEye>
<Archetype: Voidspawn>
<Biome: Ancient Crypt, Eldritch Dimension, Mountains, Secret Laboratory, Underdark>
<Speed: 3>
<Movement: Random>
<It: Antica razza aliena da "Alle montagne della follia" di Lovecraft>",biological,0573,"Bone",1/5,0574,"Meat",1/4
38,"Beast 666","LV: 141 | Crowley's great beast persona made manifest<Char:$GiganticJuggernaut>
<Archetype: Voidspawn>
<Biome: Eldritch Dimension, Underdark>
<Speed: 3>
<Movement: Random>
<It: La grande personalità bestiale di Crowley si è manifestata>",biological,0574,"Meat",1/3,0573,"Bone",1/4
39,"Yellow King","LV: 167 | Entity from Chambers' The King in Yellow<Char:$Sythran>
<Archetype: Voidspawn>
<Biome: Eldritch Dimension, Underdark>
<Speed: 3>
<Movement: Random>
<It: Entità da Il re in giallo di Chambers>",biological,0573,"Bone",1/3,0571,"Leather",1/4
40,"Azathoth Fragment","LV: 197 | Manifestation of the blind idiot god at the center of the universe<Char:$BloodshotEye>
<Archetype: Voidspawn>
<Biome: Eldritch Dimension, Underdark>
<Speed: 3>
<Movement: Random>
<It: Manifestazione del dio cieco idiota al centro dell'universo>",biological,0573,"Bone",1/5,,"",
41,"Cybernetic Knight","LV: 57 | Advanced warrior with mechanical augmentations<Char:$SphereAutomaton>
<Archetype: Robot>
<Biome: Secret Laboratory, Urban>
<Speed: 3>
<Movement: Approach>
<It: Guerriero avanzato con potenziamenti meccanici>",mechanical,0581,"Quantum Core",1/10,,"",
42,"Quantum Fluctuation","LV: 54 | Unstable entity from between realities<Char:$WarpSkull>
<Archetype: Voidspawn>
<Biome: Astral Plane, Eldritch Dimension, Underdark>
<Speed: 3>
<Movement: Random>
<It: Entità instabile tra le realtà>",tech,0585,"Plastic Polymer",1/6,,"",
43,"Mr. Inadequate","LV: 2 | The most pathetically weak enemy you'll ever face<Char:$RascallyDemonling>
<Archetype: Humanoid>
<Biome: Cursed Lands>
<Speed: 3>
<Movement: Fleeing>
<It: Il nemico più pateticamente debole che incontrerai mai>",biological,0573,"Bone",1/5,,"",
44,"Talking Door","LV: 48 | Sentient doorway that somehow walks and speaks<Char:$HungryMimic>
<Archetype: Mutant>
<Biome: Abandoned Mines, Ancient Crypt, Caves>
<Speed: 3>
<Movement: Fixed>
<It: Porta senziente che in qualche modo cammina e parla>",biological,0571,"Leather",1/4,,"",
45,"Bureaucratic Nightmare","LV: 52 | Living embodiment of red tape and paperwork<Char:$MummifiedRitualist>
<Archetype: Humanoid>
<Biome: Dreamscape, Forest, Grasslands, Plains, Sewers, Urban>
<Speed: 3>
<Movement: Approach>
<It: L'incarnazione vivente della burocrazia e della burocrazia>",biological,0571,"Leather",1/4,,"",
46,"Sentient Traffic Cone","LV: 45 | Somehow gained consciousness and a taste for violence<Char:$SandGolem>
<Archetype: Mutant>
<Biome: Abandoned Mines, Caves, Desert, Highlands, Mountains, Secret Laboratory>
<Speed: 3>
<Movement: Random>
<It: In qualche modo ha acquisito consapevolezza e gusto per la violenza>",biological,0574,"Meat",1/3,,"",
47,"Eternal Intern","LV: 48 | Office worker trapped in endless internship limbo<Char:$ElegantDamsel>
<Archetype: Humanoid>
<Biome: Glacial Wastes, Plains, Tundra, Urban>
<Speed: 3>
<Movement: Fleeing>
<It: Impiegato intrappolato in un limbo infinito di tirocinio>",biological,0573,"Bone",1/3,0571,"Leather",1/5
48,"Recursive Paradox","LV: 57 | Entity caught in an eternal logical loop<Char:$GraveRevenant>
<Archetype: Voidspawn>
<Biome: Eldritch Dimension, Necropolis, Underdark>
<Speed: 3>
<Movement: Random>
<It: Entità intrappolata in un eterno ciclo logico>",biological,0571,"Leather",1/5,0573,"Bone",1/5
49,"Corporate Ninja","LV: 52 | Stealthy assassin working for mega-corporations<Char:$SkeweringStalker>
<Archetype: Humanoid>
<Biome: Forest, Grasslands, Plains, Sewers, Urban>
<Speed: 3>
<Movement: Approach>
<It: Assassino furtivo che lavora per le mega-corporazioni>",biological,0573,"Bone",1/3,,"",
50,"Mianni","LV: 6 | Animated Crayona that ignores physical laws<Char:$Mianni>
<Archetype: Mutant>
<Biome: Plains>
<Speed: 3>
<Movement: Random>
<It: Crayona animato che ignora le leggi fisiche>",biological,0571,"Leather",1/3,,"",
51,"Celestial Tyrannosaurus","LV: 80 | Dinosaur from space with cosmic powers<Char:$MudWyvern>
<Archetype: Reptilian>
<Biome: Mountains>
<Speed: 4>
<Movement: Approach>
<It: Dinosauro dallo spazio con poteri cosmici>",biological,0574,"Meat",1/2,,"",
52,"Motivational Fungoid","LV: 57 | Terrifyingly positive entity that can inspire even foes<Char:$SneakySatyr>
<Archetype: Mushroom>
<Biome: Mushroom Forest>
<Speed: 1>
<Movement: Fixed>
<It: Un'entità terrificantemente positiva che può ispirare persino i nemici>",plant,0570,"Wood",1/3,,"",
53,"Disco Revenant","LV: 63 | Undead entity stuck in the 1970s<Char:$ProficientBard>
<Archetype: Undead>
<Biome: Urban, Necropolis>
<Speed: 2>
<Movement: Approach>
<It: Entità non morta bloccata negli anni '70>",biological,0571,"Leather",1/3,,"",
54,"Interdimensional Tourist","LV: 61 | Visitor from another dimension who got lost<Char:$NovicePyromancer>
<Archetype: Voidspawn>
<Biome: Astral Plane, Eldritch Dimension, Glacial Wastes, Tundra, Underdark>
<Speed: 3>
<Movement: Random>
<It: Visitatore da un'altra dimensione che si è perso>",biological,0571,"Leather",1/4,0573,"Bone",1/3
55,"Hyperdimensional Cube","LV: 78 | Fourth-dimensional entity that defies physical perception<Char:$GelatinousCube>
<Archetype: Voidspawn>
<Biome: Astral Plane, Eldritch Dimension, Underdark>
<Speed: 3>
<Movement: Random>
<It: Entità quadridimensionale che sfida la percezione fisica>",biological,0573,"Bone",1/5,0571,"Leather",1/4
56,"Sentient Meme","LV: 57 | Internet joke that gained consciousness and physical form<Char:$BlinkDog>
<Archetype: Voidspawn>
<Biome: Eldritch Dimension, Plains, Secret Laboratory, Underdark, Urban>
<Speed: 3>
<Movement: Random>
<It: Barzelletta di Internet che ha acquisito coscienza e forma fisica>",biological,0574,"Meat",1/2,0573,"Bone",1/3
57,"Reality TV Host","LV: 73 | Television personality with reality-warping powers<Char:$BloodthirstyCount>
<Archetype: Humanoid>
<Biome: Plains>
<Speed: 3>
<Movement: Approach>
<It: Personaggio televisivo con poteri di distorsione della realtà>",biological,0571,"Leather",1/4,0573,"Bone",1/3
58,"Artificial Intelligence","LV: 89 | Rogue AI that has manifested a physical form<Char:$HorseAutomaton>
<Archetype: Robot>
<Biome: Secret Laboratory>
<Speed: 3>
<Movement: Approach>
<It: IA canaglia che ha manifestato una forma fisica>",mechanical,0583,"Microchip",1/8,,"",
59,"Philosophical Zombie","LV: 98 | Undead entity that debates existentialism while fighting<Char:$ZombieGiant>
<Archetype: Undead>
<Biome: Caves, Necropolis>
<Speed: 2>
<Movement: Approach>
<It: Entità non morta che dibatte sull'esistenzialismo mentre combatte>",biological,0571,"Leather",1/5,0573,"Bone",1/3
60,"Glitch Entity","LV: 81 | Digital anomaly that crossed into the physical world<Char:$FloatingCherub>
<Archetype: Voidspawn>
<Biome: Eldritch Dimension, Underdark>
<Speed: 3>
<Movement: Random>
<It: Anomalia digitale che ha attraversato il mondo fisico>",tech,0581,"Quantum Core",1/6,0587,"Nanotube Module",1/6
61,"Quantum Supersoldier","LV: 110 | Warrior from the future who exists in multiple states<Char:$DivinePlanetar>
<Archetype: Robot>
<Biome: Astral Plane, Eldritch Dimension, Secret Laboratory>
<Speed: 3>
<Movement: Approach>
<It: Guerriero del futuro che esiste in più stati>",mechanical,0584,"Battery Cell",1/8,0583,"Microchip",1/8
62,"Chronovore","LV: 102 | Bear entity that feeds on time itself<Char:$OwlBear>
<Archetype: Voidspawn>
<Biome: Eldritch Dimension, Mountains, Underdark>
<Speed: 3>
<Movement: Random>
<It: Entità orso che si nutre del tempo stesso>",biological,0574,"Meat",1/4,0571,"Leather",1/4
63,"Viral Marketing Campaign","LV: 79 | Advertisement that gained sentience and aggression<Char:$CourtJester>
<Archetype: Voidspawn>
<Biome: Eldritch Dimension, Secret Laboratory, Underdark>
<Speed: 3>
<Movement: Random>
<It: Pubblicità che ha acquisito sensibilità e aggressività>",biological,0573,"Bone",1/5,,"",
64,"Living Mathematical Theorem","LV: 95 | Sentient equation that warps reality around it<Char:$GnomeMage>
<Archetype: Voidspawn>
<Biome: Eldritch Dimension, Underdark>
<Speed: 3>
<Movement: Random>
<It: Equazione senziente che deforma la realtà attorno a sé>",biological,0574,"Meat",1/3,,"",
65,"Slime Knight","LV: 28 | A sentient slime creature that has formed armor and wields a weapon.<Char:$DeathSlime>
<Archetype: Slime>
<Biome: Sewers, Urban>
<Speed: 2>
<Movement: Random>
<It: Una creatura viscida e senziente che ha creato un'armatura e brandisce un'arma.>",slime,0573,"Bone",1/8,,"",
66,"Forest Witch","LV: 28 | A mystical witch of the forest who uses nature and sleep magic.<Char:$VileWitch>
<Archetype: Humanoid>
<Biome: Forest, Sacred Grove>
<Speed: 3>
<Movement: Approach>
<It: Una strega mistica della foresta che usa la magia della natura e del sonno.>",biological,0574,"Meat",1/3,,"",
67,"Mechanical Golem","LV: 48 | An ancient mechanical construct with earth-shattering capabilities.<Char:$ShieldbearerAutomation>
<Archetype: Golem>
<Biome: Abandoned Mines, Ancient Crypt, Caves, Highlands, Mountains, Secret Laboratory>
<Speed: 2>
<Movement: Approach>
<It: Un antico costrutto meccanico con capacità sconvolgenti.>",golem,0566,"Titanium ingot",1/8,,"",
68,"Storm Banshee","LV: 39 | A spectral being born from thunderstorms, capable of electric devastation.<Char:$AdeptNecromancer>
<Archetype: Ghost>
<Biome: Haunted Moor, Highlands, Sky Isles, Spirit Realm>
<Speed: 5>
<Movement: Approach>
<It: Un essere spettrale nato dai temporali, capace di provocare devastazioni elettriche.>",spirit,0579,"Arcane Essence",1/2,,"",
69,"Crystal Siren","LV: 41 | A mesmerizing crystal being that can charm and silence enemies.<Char:$CheerfulBarmaid>
<Archetype: CrystalEntity>
<Biome: Crystal Caves, Secret Laboratory>
<Speed: 3>
<Movement: Random>
<It: Un affascinante essere di cristallo in grado di ammaliare e mettere a tacere i nemici.>",crystalline,0569,"Glass",1/5,0568,"Crystal",1/2
70,"Forest Rat","LV: 10 | A common woodland rodent, slightly larger and more aggressive than normal.<Char:$GiantRat>
<Archetype: Beast>
<Biome: Forest, Grasslands, Plains, Sewers>
<Speed: 4>
<Movement: Approach>
<It: Un roditore comune dei boschi, leggermente più grande e aggressivo del normale.>",biological,0571,"Leather",1/3,,"",
71,"Street Punk","LV: 12 | A low-level urban troublemaker with basic fighting skills.<Char:$HobgoblinGrunt>
<Archetype: Humanoid>
<Biome: Forest, Grasslands, Plains, Urban>
<Speed: 3>
<Movement: Approach>
<It: Un attaccabrighe urbano di basso livello con abilità di combattimento di base.>",biological,0573,"Bone",1/4,,"",
72,"Robotic Drone","LV: 11 | A small, mass-produced security or surveillance robot.<Char:$SphereAutomaton>
<Archetype: Drone>
<Biome: Abandoned Mines, Secret Laboratory>
<Speed: 4>
<Movement: Approach>
<It: Un piccolo robot di sicurezza o sorveglianza prodotto in serie.>",mechanical,0582,"Circuit Board",1/5,,"",
73,"Zombie Villager","LV: 12 | A recently turned undead, slow but persistent.<Char:$BloatedZombie>
<Archetype: Undead>
<Biome: Necropolis>
<Speed: 2>
<Movement: Approach>
<It: Un non-morto recentemente trasformato, lento ma persistente.>",biological,0571,"Leather",1/3,,"",
74,"Space Cadet","LV: 12 | A novice space explorer with basic combat training.<Char:$BraveKnight>
<Archetype: Humanoid>
<Biome: Caves, Glacial Wastes, Secret Laboratory, Tundra, Urban>
<Speed: 3>
<Movement: Approach>
<It: Un esploratore spaziale alle prime armi con addestramento di combattimento di base.>",biological,0571,"Leather",1/5,,"",
75,"Mutant Bug","LV: 10 | A small, aggressive insectoid creature with sharp claws.<Char:$BloatedBedbug>
<Archetype: Insectoid>
<Biome: Plains>
<Speed: 3>
<Movement: Random>
<It: Una piccola e aggressiva creatura insettoide dotata di artigli affilati.>",biological,0571,"Leather",1/4,,"",
76,"Goblin Scout","LV: 11 | A nimble little goblin skilled in quick, precise strikes.<Char:$GoblinWolfRider>
<Archetype: Humanoid>
<Biome: Forest, Grasslands, Plains>
<Speed: 3>
<Movement: Approach>
<It: Un piccolo goblin agile e abile nei colpi rapidi e precisi.>",biological,0573,"Bone",1/5,0571,"Leather",1/5
77,"Cultist Acolyte","LV: 11 | A low-ranking member of a mysterious and sinister cult.<Char:$AdeptNecromancer>
<Archetype: Humanoid>
<Biome: Cultist Lair>
<Speed: 3>
<Movement: Approach>
<It: Un membro di basso rango di una setta misteriosa e sinistra.>",biological,0574,"Meat",1/3,0573,"Bone",1/4
78,"Chronos, Time Titan","LV: 250 | An ancient being that embodies the raw power of time itself, capable of rewriting reality.<Char:$CorruptedTreant>
<Biome: Ancient Crypt, Forest, Highlands, Mountains>
<Speed: 1>
<Movement: Fixed>
<It: Un essere antico che incarna il potere grezzo del tempo stesso, capace di riscrivere la realtà.>",biological,0571,"Leather",1/5,,"",
79,"Void Empress","LV: 233 | A cosmic entity that manipulates darkness and incomprehensible truths beyond mortal understanding.<Char:$VampireThrall>
<Archetype: Voidspawn>
<Biome: Eldritch Dimension, Underdark>
<Speed: 3>
<Movement: Random>
<It: Un'entità cosmica che manipola l'oscurità e verità incomprensibili che vanno oltre la comprensione mortale.>",biological,0573,"Bone",1/5,,"",
80,"Primordial Golem","LV: 266 | An ancient living construct of stone and earth, older than civilization itself.<Char:$BrassGolemIdle>
<Archetype: Golem>
<Biome: Abandoned Mines, Ancient Crypt, Caves, Highlands, Mountains>
<Speed: 2>
<Movement: Approach>
<It: Un'antica costruzione vivente di pietra e terra, più antica della civiltà stessa.>",golem,0566,"Titanium ingot",1/6,,"",
81,"Quantum Archon","LV: 214 | A multidimensional being that exists simultaneously across infinite possible realities.<Char:$AdultGoldDragon>
<Archetype: Robot>
<Biome: Astral Plane, Eldritch Dimension, Highlands, Secret Laboratory>
<Speed: 3>
<Movement: Approach>
<It: Un essere multidimensionale che esiste simultaneamente in infinite realtà possibili.>",mechanical,0582,"Circuit Board",1/4,,"",
82,"Celestial Avatar","LV: 233 | A manifestation of divine power, bridging the gap between mortal comprehension and cosmic forces.<Char:$Chromgar>
<Archetype: Humanoid>
<Biome: Plains>
<Speed: 3>
<Movement: Approach>
<It: Una manifestazione del potere divino, che colma il divario tra la comprensione mortale e le forze cosmiche.>",biological,0571,"Leather",1/5,0573,"Bone",1/4
83,"Entropy Wyrm","LV: 109 | A cosmic serpent that consumes and distorts arcane energy, threatening the very fabric of existence.<Char:$CoilingWyvern>
<Archetype: Dragon>
<Biome: Eldritch Dimension, Highlands, Mountains>
<Speed: 5>
<Movement: Approach>
<It: Un serpente cosmico che consuma e distorce l'energia arcana, minacciando il tessuto stesso dell'esistenza.>",dragon,0577,"Oil Flask",1/4,,"",
