Change;Excluded;Original;en;it
;;You are now worthy;You are now worthy;Ora sei degno
;;\V[2];\V[2];\V[2]
;;You are now super worthy;You are now super worthy;Ora sei super degno
;;\V[10]\G were found!;\V[10]\G were found!;\V[10]\G trovati!
;;spleen;spleen;milza
;;foot;foot;piede
;;Whoa! You trekked all the way to the tower?;Whoa! You trekked all the way to the tower?;Wow! Hai fatto tutta la strada fino alla torre?
;;"Didn't you know that there is a easier way to
get to the tower? Just take the Hypermetro!";"Didn't you know that there is a easier way to
get to the tower? Just take the Hypermetro!";"Non sapevi che c'è un modo più semplice per
raggiungere la torre? Basta prendere l'Hypermetro!"
;;"How did you manage to survive the arcane mist 
and stuff in the first place?";"How did you manage to survive the arcane mist 
and stuff in the first place?";"Come hai fatto a sopravvivere alla nebbia arcana
e a tutto il resto, in primo luogo?"
;;"I'm trying to make this tower self sufficient 
you know? ";"I'm trying to make this tower self sufficient 
you know? ";"Sto cercando di rendere questa torre autosufficiente,
sai?"
;;"The Hypermetro is the only lifeline
connecting this place to the rest of the world.";"The Hypermetro is the only lifeline
connecting this place to the rest of the world.";"L'Hypermetro è l'unica linea vitale
che collega questo posto al resto del mondo."
;;"But what happens if a PSIterrorist dedices to
blow up the tunnels? We will be all starve to death
or be forced to eat monsters that lives in
upper floors";"But what happens if a PSIterrorist dedices to
blow up the tunnels? We will be all starve to death
or be forced to eat monsters that lives in
upper floors";"Ma cosa succederebbe se un terrorista psichico decidesse di
far saltare in aria i tunnel? Moriremmo tutti di fame
o saremmo costretti a mangiare i mostri che vivono
nei piani superiori."
;;Bank;Bank;Banca
;;Stock market;Stock market;Mercato azionario
;;"Hmm... so you *walked* from Beagle to here?""";"Hmm... so you *walked* from Beagle to here?""";"Hmm... quindi sei venuto a piedi da Beagle fino a
qui?"
;;"Through the arcane neurotoxic mist and stuff?
You must be serious about this.";"Through the arcane neurotoxic mist and stuff?
You must be serious about this.";"Attraverso l'arcana nebbia neurotossica e roba del genere?
Devi fare sul serio."
;;"Let me explain to you the situation:
We're currently stationed inside an *anomalous skyscraper*";"Let me explain to you the situation:
We're currently stationed inside an *anomalous skyscraper*";"Lasciate che vi spieghi la situazione:
Al momento siamo di stanza all'interno di un *grattacielo anomalo*"
;;Reality isn't really consistent the higher you go.;Reality isn't really consistent the higher you go.;"La realtà non è più coerente man mano che si sale
in alto."
;;"Our job is to explore, document, and archive everything
we find and we’re actively recruiting explorers and
freelancers.";"Our job is to explore, document, and archive everything
we find and we’re actively recruiting explorers and
freelancers.";"Il nostro lavoro è esplorare, documentare e archiviare tutto
ciò che troviamo e stiamo reclutando attivamente esploratori e
liberi professionisti."
;;"When you're stocked up and feel ready, 
you can begin exploring by going to the Hypernet
point upstairs";"When you're stocked up and feel ready, 
you can begin exploring by going to the Hypernet
point upstairs";"Quando hai fatto scorta e ti senti pronto,
puoi iniziare l'esplorazione recandoti al punto Hypernet
al piano superiore"
;;"Be warned, though, each floor above us follows its own rules. 
Gravity gets weird, logic bends in weird ways, 
and time itself may lose its grip.";"Be warned, though, each floor above us follows its own rules. 
Gravity gets weird, logic bends in weird ways, 
and time itself may lose its grip.";"Attenzione, però: ogni piano sopra di noi segue le sue regole.
La gravità diventa strana, la logica si piega in modi bizzarri
e il tempo stesso potrebbe perdere la sua presa."
;;But that's exactly why you're here, isn't it?;But that's exactly why you're here, isn't it?;Ma è proprio per questo che sei qui, non è vero?
;;PSI Anti-S Choker was found!;PSI Anti-S Choker was found!;Hai trovato lo strozzatore anti-S PSI!
;;"Hello \N[1] i'm Selene from HQ!
Welcome to the Omega Tower!";"Hello \N[1] i'm Selene from HQ!
Welcome to the Omega Tower!";"Ciao \N[1], sono Selene del Quartier Generale!
Benvenuti alla Torre Omega!"
;;"Here is your free starting kit, just 
like it was promised in the promo pamphlet!";"Here is your free starting kit, just 
like it was promised in the promo pamphlet!";"Ecco il tuo kit di partenza gratuito, proprio
come promesso nell'opuscolo promozionale!"
;;"You’ll find weapons, clothes, trinkets and
thamaturgical stuff we’ve put together for new recruits.";"You’ll find weapons, clothes, trinkets and
thamaturgical stuff we’ve put together for new recruits.";"Troverai armi, vestiti, cianfrusaglie e
oggetti tamaturgici che abbiamo preparato per le nuove reclute."
;;And yes, it even includes a gun!;And yes, it even includes a gun!;"
E si, include anche una pistola!"
;;"Make sure to visit our \C[1]Training center\C[0],
just take the the stairs below";"Make sure to visit our \C[1]Training center\C[0],
just take the the stairs below";"Non dimenticarti di visitare il nostro \C[1]Centro di formazione\C[0],
basta salire le scale qui sotto"
;;You found a set of basic items!;You found a set of basic items!;Hai trovato un set di oggetti di base!
;;Is locked;Is locked;È bloccato
;;Activate switch?;Activate switch?;Attivare l'interruttore?
;;Nowhere.;Nowhere.;Luogo inesistente.
;;Somewhere;Somewhere;In qualche luogo
;;Fishing Tackle was found!;Fishing Tackle was found!;Attrezzatura da pesca trovata!
;;"This experience is not what you think it is. 
Long forgotten a shadow, will never bring light.";"This experience is not what you think it is. 
Long forgotten a shadow, will never bring light.";"Questa esperienza non è come pensi.
Un'ombra dimenticata da tempo, non porterà mai luce."
;;Good luck and DON'T fuck it up!;Good luck and DON'T fuck it up!;Buona fortuna e NON rovinare tutto!
;;Toy Magic Wand was found!;Toy Magic Wand was found!;È stata ritrovata la bacchetta magica giocattolo!
;;Bruschetta was found!;Bruschetta was found!;Hai trovato una Bruschetta!
;;Suspicious Soup was found!;Suspicious Soup was found!;Hai trovato una Zuppa sospetta!
;;Leaf-Wrapped Fish was found!;Leaf-Wrapped Fish was found!;Hai trovato un Pesce avvolto in una foglia!
;;Roasted Hare was found!;Roasted Hare was found!;Hai trovato una Lepre arrostita!
;;Portable GPS Navigator was found!;Portable GPS Navigator was found!;Hai trovato un Navigatore GPS portatile!
;;Hand Sanitizer was found!;Hand Sanitizer was found!;Hai trovato un Disinfettante per le mani!
;;Travel Backpack was found!;Travel Backpack was found!;Hai trovato uno Zaino da viaggio!
;;Fake Treasure Map was found!;Fake Treasure Map was found!;Hai trovato una Falsa mappa del tesoro!
;;Lantern was found!;Lantern was found!;Hai trovato una Lanterna
;;Wayfinder's Drum was found!;Wayfinder's Drum was found!;Hai trovato il Tamburo del viaggiatore
;;Utensil Set was found!;Utensil Set was found!;Hai trovato un Set di utensili!
;;Cooking Pot was found!;Cooking Pot was found!;Hai trovato una Pentola!
;;Fighter Action Figure was found!;Fighter Action Figure was found!;Hai trovato una Action figure di un combattente!
;;Flexible Staff was found!;Flexible Staff was found!;Hai trovato Bastone flessibile
;;Butter-Poached Lobster was found!;Butter-Poached Lobster was found!;Hai trovato un'Aragosta al burro!
;;Mushroom Risotto was found!;Mushroom Risotto was found!;Hai trovato un Risotto ai funghi!
;;"Every month, the moon descends to earth 
and sits atop the temple roof
She bleeds milk and worms.";"Every month, the moon descends to earth 
and sits atop the temple roof
She bleeds milk and worms.";"Ogni mese, la luna scende sulla Terra
e si posa sul tetto del tempio
e sanguina latte e vermi."
;;"The village cats line up to lick it, 
hoping for sweet dreams.
One night, one of them dares to ask her, 
'Do you dream, moon?'";"The village cats line up to lick it, 
hoping for sweet dreams.
One night, one of them dares to ask her, 
'Do you dream, moon?'";"I gatti del villaggio si mettono in fila per leccarla,
sperando in sogni d'oro.
Una notte, uno di loro osa chiederle:
""Sogni, luna?"""
;;"She crushes him with a giant foot 
she didn’t have before.
'Yes,' she says. 'I dream that none 
of you exist anymore.'";"She crushes him with a giant foot 
she didn’t have before.
'Yes,' she says. 'I dream that none 
of you exist anymore.'";"Lo schiaccia con un piede gigante
che prima non aveva.
'Sì', dice. 'Sogno che nessuno
di voi esista più.'"
;;"...And that’s just how life was in 
my village, out in the 
Free States of the Midwest.";"...And that’s just how life was in 
my village, out in the 
Free States of the Midwest.";"...Ed era proprio così che si viveva
nel mio villaggio, negli
Stati Liberi del Midwest."
;;"I fuckin' love America dude, but Old Europe is
pretty neat.";"I fuckin' love America dude, but Old Europe is
pretty neat.";"Adoro l'America, amico, ma la vecchia Europa
è davvero carina."
;;"I fuckin' love America dudette, but Old Europe is
pretty neat.";"I fuckin' love America dudette, but Old Europe is
pretty neat.";"Adoro l'America, cara, ma la vecchia Europa
è davvero carina."
;;"I fuckin' love America dud*, but Old Europe is
pretty neat.";"I fuckin' love America dud*, but Old Europe is
pretty neat.";"Adoro l'America, ma la vecchia Europa è
davvero carina."
;;Next train’s running late again, huh?;Next train’s running late again, huh?;Il prossimo treno è di nuovo in ritardo, eh?
;;Not sure if this goes to Lisbon or not.;Not sure if this goes to Lisbon or not.;Non so se questo va a Lisbona o no.
;;"They raised fares again, and for what?
I've already owe Esoteric Heavy Industries
like 15% of my soul.";"They raised fares again, and for what?
I've already owe Esoteric Heavy Industries
like 15% of my soul.";"Hanno aumentato di nuovo le tariffe, e per cosa?
Devo già alla Esoteric Heavy Industries
circa il 15% della mia anima."
;;"If something blocks your path...just shove it!
Press \C[1]C\C[0] to shove or break the item in
front of you.";"If something blocks your path...just shove it!
Press \C[1]C\C[0] to shove or break the item in
front of you.";"Se qualcosa ti blocca il cammino... spingilo!
Premi \C[1]C\C[0] per spingere o rompere l'oggetto
davanti a te."
;;"You can also shove people and creatures
but be careful about not throwing anybody
on the rails!";"You can also shove people and creatures
but be careful about not throwing anybody
on the rails!";"Puoi anche spingere persone e creature,
ma fai attenzione a non buttare nessuno
sui binari!"
;;Running Shoes was found!;Running Shoes was found!;hai trovato delle Scarpe da corsa!
;;Bottled Water was found!;Bottled Water was found!;Hai trovato dell'Acqua in bottiglia!
;;Saline Nasal Spray was found!;Saline Nasal Spray was found!;Hai trovato uno Spray nasale salino!
;;Is empty;Is empty;È vuoto
;;Morphine was found!;Morphine was found!;Hai trovato la Morfina!
;;Play Locktris;Play Locktris;Gioca a Locktris
;;Select difficulty:;Select difficulty:;Seleziona la difficoltà:
;;Walk in the park;Walk in the park;Passeggiata nel parco
;;Easy;Easy;Facile
;;Medium;Medium;Medio
;;Hard;Hard;Difficile
;;Hyperhard;Hyperhard;Iperduro
;;1346\G were found!;1346\G were found!;Sono stati trovati 1346\G!
;;Mesopotamian Sword was found!;Mesopotamian Sword was found!;È stata rinvenuta una Spada mesopotamica!
;;Muscle Relaxant was found!;Muscle Relaxant was found!;È stato trovato un rilassante muscolare!
;;There aren't many players around...;There aren't many players around...;Non ci sono molti giocatori in giro...
;;Play pool with monsters;Play pool with monsters;Gioca a biliardo con i mostri
;;Increase level;Increase level;Aumentare il livello
;;Level MAX;Level MAX;Livello MAX
;;Level 50;Level 50;Livello 50
;;Access bank;Access bank;Accesso alla banca
;;Reset level;Reset level;Ripristina livello
;;Change class;Change class;Cambia classe
;;Enter the arena?;Enter the arena?;Entrare nell'arena?
;;Choose your opponent;Choose your opponent;Scegli il tuo avversario
;;Enter tournament;Enter tournament;Partecipa al torneo
;;Exit;Exit;Uscita
;;Sleep;Sleep;Sonno
;;Save;Save;Salva
;;Is locked.;Is locked.;È bloccato.
;;Level resetted;Level resetted;Livello ripristinato
;;"If you come across a high level that can one-shot
you and your friends, you can always flee at the
first turn without taking damage.";"If you come across a high level that can one-shot
you and your friends, you can always flee at the
first turn without taking damage.";"Se ti imbatti in un personaggio di alto livello che può uccidere te e i tuoi amici con un colpo solo, puoi sempre fuggire al
primo turno senza subire danni."
;;2000\G were found!;2000\G were found!;2000\G trovati!
;;"You can select a new skill to train
in the training menu, win battles to gain
learning points.";"You can select a new skill to train
in the training menu, win battles to gain
learning points.";"Puoi selezionare una nuova abilità da allenare
nel menu di allenamento, vincere battaglie per ottenere
punti apprendimento."
;;"...or you can just buy a online course online
that will teach you that skill or spell, but they
are pretty pricey.";"...or you can just buy a online course online
that will teach you that skill or spell, but they
are pretty pricey.";"...oppure puoi semplicemente acquistare un corso online
che ti insegnerà quell'abilità o quell'incantesimo, ma
sono piuttosto costosi."
;;\N[2] joins the party!;\N[2] joins the party!;\N[2] si unisce al Party!
;;Urban Lucky Charm was found!;Urban Lucky Charm was found!;Amuleto Urbano Fortunato trovato!
;;Check encyclopedia;Check encyclopedia;Controlla l'enciclopedia
;;You lack in sophistication;You lack in sophistication;Ti manca la raffinatezza
;;Get some muscles!;Get some muscles!;Metti su un po' di muscoli!
;;Train station;Train station;Stazione ferroviaria
;;Downtown;Downtown;Centro
;;Riverside;Riverside;Lungofiume
;;Hospital;Hospital;Ospedale
;;Shopping tunnel;Shopping tunnel;Tunnel dello shopping
;;Where you want to go?;Where you want to go?;Dove vuoi andare?
;;Piazza dei Martiri;Piazza dei Martiri;Piazza dei Martiri
;;Absorb;Absorb;Assorbire
;;"You absorbed the creature.
You are now just like them,";"You absorbed the creature.
You are now just like them,";"Hai assorbito la creatura.
Ora sei proprio come loro,"
;;Ghent;Ghent;Ghent
;;You found some Liminal cuffs;You found some Liminal cuffs;Hai trovato delle manette Liminal
;;Take the wheel;Take the wheel;Prendi il volante
;;Take liminal cufgfs;Take liminal cufgfs;Prendi i cuffgfs liminali
;;Let Bubba drive;Let Bubba drive;Lascia che Bubba guidi
;;"Based on my exploration experience:
Level A floors (1-9) have all a central hub zone
and many zones connected to them";"Based on my exploration experience:
Level A floors (1-9) have all a central hub zone
and many zones connected to them";"In base alla mia esperienza di esplorazione:
i piani di Livello A (1-9) hanno tutti una zona hub centrale
e molte zone ad esse collegate"
;;"Level B floors (11-19) are largely series of 
connected spaces, with no clear central hub";"Level B floors (11-19) are largely series of 
connected spaces, with no clear central hub";"I piani di livello B (11-19) sono in gran parte una serie di
spazi collegati, senza un chiaro fulcro centrale"
;;"Level C (21-29) floors are....sprawling.
They are huge areas where you can just get lost
easily";"Level C (21-29) floors are....sprawling.
They are huge areas where you can just get lost
easily";"I piani C (21-29) sono... estesi.
Sono aree enormi dove ci si può perdere
facilmente"
;;Level D floors (31-39) are;Level D floors (31-39) are;I piani di livello D (31-39) sono
;;Level E floors (41-49) are;Level E floors (41-49) are;I piani di livello E (41-49) sono
;;Level F floors (51-59) are;Level F floors (51-59) are;I piani di livello F (51-59) sono
;;Level G floors (61-69) are;Level G floors (61-69) are;I piani di livello G (61-69) sono
;;Level H floors (71-79) are;Level H floors (71-79) are;I piani di livello H (71-79) sono
;;Level I floors (81-89) are;Level I floors (81-89) are;I piani di livello I (81-89) sono
;;Level J floors (90-92) are;Level J floors (90-92) are;I piani di livello J (90-92) sono
;;I haven't explored further than that.;I haven't explored further than that.;Non ho approfondito ulteriormente la questione.
;;"dSalve a tutti belli e brutti, ciao test
hjkhkhkkwehjkwerjrwejkjkjhkjhkv jkjkjkj
kwhwerwerv wererw khgkewkrwhrhk ghjgyjg00000000";"dSalve a tutti belli e brutti, ciao test
hjkhkhkkwehjkwerjrwejkjkjhkjhkv jkjkjkj
kwhwerwerv wererw khgkewkrwhrhk ghjgyjg00000000";"Salve a tutti belli e brutti, ciao testo
hjkhkhkkwehjkwerjrwejkjkjhkjhkv jkjkjkj
kwhwerwerv werw khgkewkrwhrhk ghjgyjg00000000"
;;"You are a worthy acolyte.
Your battles were worth fighting for.
You shall recive a gift you earned fairly.";"You are a worthy acolyte.
Your battles were worth fighting for.
You shall recive a gift you earned fairly.";"Sei un degno accolito.
Le tue battaglie valevano la pena di essere combattute.
Riceverai un dono che ti sei guadagnato onestamente."
;;ne manca 1;ne manca 1;ne manca 1
;;0 godi solo a metà;0 godi solo a metà;0 godi solo a metà
;;"Your gift has been redeemed.
Go to target to get a gift card
to enter the contest again.";"Your gift has been redeemed.
Go to target to get a gift card
to enter the contest again.";"Il tuo regalo è stato riscattato.
Vai su Target per ottenere una carta regalo
per partecipare nuovamente al concorso."
;;You defeated the Angel|!;You defeated the Angel|!;Hai sconfitto l'Angelo!
;;Do you want to surf?;Do you want to surf?;Vuoi fare surf?
;;Book helicopter ride;Book helicopter ride;Prenota un giro in elicottero
;;Climb down;Climb down;Scendere
;;Do nothing;Do nothing;Non fare nulla
;;Select mode;Select mode;Seleziona modalità
;;Dungeon;Dungeon;Dungeon
;;MAX Gauntlet;MAX Gauntlet;MAX Gauntlet
;;Select difficulty;Select difficulty;Seleziona difficoltà
;;Permadeath;Permadeath;Permadeath
;;Standard;Standard;Lite
;;"In \C[1]Permadeath mode\C[0] if your character perish in battle
you will have to create a new one.
Loot the body of your past character to recover items and
euros.";"In \C[1]Permadeath mode\C[0] if your character perish in battle
you will have to create a new one.
Loot the body of your past character to recover items and
euros.";"In modalità \C[1]Permadeath\C[0], se il tuo personaggio muore in battaglia
dovrai crearne uno nuovo.
Saccheggia il corpo del tuo personaggio precedente per recuperare oggetti ed
euro."
;;"In \C[1]Standard mode\C[0] if your character get defeated
during battle will rewake at the base floor of the dungeon.
Your allies will still die if they are not resurrected
by the end of the battle.";"In \C[1]Standard mode\C[0] if your character get defeated
during battle will rewake at the base floor of the dungeon.
Your allies will still die if they are not resurrected
by the end of the battle.";"In modalità \C[1]Standard\C[0], se il tuo personaggio viene sconfitto
durante la battaglia, si risveglierà al piano base del dungeon.
I tuoi alleati moriranno comunque se non vengono resuscitati
entro la fine della battaglia."
;;What do you believe in?;What do you believe in?;In cosa credi?
;;Muscles;Muscles;Muscoli
;;Science;Science;Scienza
;;Magic;Magic;Magia
;;Religion;Religion;Religione
;;Hypercapitalism;Hypercapitalism;Ipercapitalismo
;;Nothing really;Nothing really;Nulla in particolare
;;Level 1;Level 1;Livello 1
;;Level 25;Level 25;Livello 25
;;Level 75;Level 75;Livello 75
;;Random;Random;Casuale
;;Select your gender;Select your gender;Seleziona il tuo genere
;;Male;Male;Uomo
;;Female;Female;Donna
;;Non binary;Non binary;Non binari*
;;Cocoon;Cocoon;Bozzolo
;;Casuale;Casuale;Casuale
;;Random character;Random character;Personaggio casuale
;;New character;New character;Nuovo personaggio
;;Random class;Random class;Classe casuale
;;Choose class;Choose class;Scegli la classe
;;That mutt used tae be my man. Name was Fergus.;That mutt used tae be my man. Name was Fergus.;Quel bastardino era il mio uomo. Si chiamava Fergus.
;;"Then some daft bastard of a wizard cursed him, 
fer shits and bloody giggles.";"Then some daft bastard of a wizard cursed him, 
fer shits and bloody giggles.";"Poi qualche stupido bastardo di un mago lo maledisse,
per merda e sanguinose risate."
;;"Wasn’t quick, naw. First, his nails curled 
back ' split like old kindling, then teeth 
fell out in chunks. ";"Wasn’t quick, naw. First, his nails curled 
back ' split like old kindling, then teeth 
fell out in chunks. ";"Non è stato veloce, anzi. Prima, le sue unghie si sono arricciate
e si sono spaccate come legna da ardere vecchia, poi i denti
sono caduti a pezzi."
;;"He screamed like I never heard before, not even 
when our son died in the Psychic Wars.";"He screamed like I never heard before, not even 
when our son died in the Psychic Wars.";"Urlò come non avevo mai sentito prima, nemmeno
quando nostro figlio morì nelle Guerre Psichiche."
;;"I held him while his legs bent wrong 
ways an’ his jaw stretched out like taffy. 
Screamin’ turned to whimperin’.";"I held him while his legs bent wrong 
ways an’ his jaw stretched out like taffy. 
Screamin’ turned to whimperin’.";"Lo tenevo fermo mentre le sue gambe si piegavano
nel verso sbagliato e la sua mascella si allungava come una caramella.
Le urla si trasformarono in lamenti."
;;"So listen: take him into the dungeon.
Let him die in glory, not pissin’ on his
own paws.";"So listen: take him into the dungeon.
Let him die in glory, not pissin’ on his
own paws.";"Quindi ascolta: portalo in prigione.
Lascialo morire in gloria, non a farsi la pipì addosso.
"
;;"And don’t bring him back, ye hear? 
He’s already gone.";"And don’t bring him back, ye hear? 
He’s already gone.";"E non riportarlo indietro, capito?
Se n'è già andato."
;;"I watched my man rot away inside that mutt
day by day.";"I watched my man rot away inside that mutt
day by day.";"Ho visto il mio uomo marcire dentro quel bastardo
giorno dopo giorno."
;;"I miss when he did the damn dishes.
Let the elder gods sort him out.";"I miss when he did the damn dishes.
Let the elder gods sort him out.";"Mi manca quando lavava i piatti.
Che siano gli dei a sistemarlo."
;;He is just a dog.;He is just a dog.;È solo un cane.
;;"I love the quiet up here, away from the upper
layers noise.";"I love the quiet up here, away from the upper
layers noise.";"Adoro la quiete quassù, lontano dal
rumore degli strati superiori."
;;"We bake everything right here, no frozen 
shipped stuff from the continent.";"We bake everything right here, no frozen 
shipped stuff from the continent.";"Prepariamo tutto qui, niente surgelati
spediti dal continente."
;;Ehii darling!;Ehii darling!;Ehi tesoro!
;;Augmentation;Augmentation;Aumento
;;Stop working;Stop working;Smettere di lavorare
;;Change role;Change role;Cambia ruolo
;;Manager;Manager;Manager
;;Producer;Producer;Produttore
;;Rider;Rider;Cavaliere
;;Start working;Start working;Inizia a lavorare
;;Select your role;Select your role;Seleziona il tuo ruolo
;;"Interact with the \C[1]Globe\C[0] to
travel to the world map.";"Interact with the \C[1]Globe\C[0] to
travel to the world map.";"Interagisci con il \C[1]Globo\C[0] per
viaggiare sulla mappa del mondo."
;;"Be careful: since the Y2K event,
the world is a mess.";"Be careful: since the Y2K event,
the world is a mess.";"Attenzione: dall'evento Y2K,
il mondo è un disastro."
;;"There are roaming monsters even
more dangerous of the ones you
will find in the Omega Tower.";"There are roaming monsters even
more dangerous of the ones you
will find in the Omega Tower.";"Ci sono mostri vaganti ancora
più pericolosi di quelli che
troverete nella Torre Omega."
;;"Just use the Hypermetro like any
sane human being ok?";"Just use the Hypermetro like any
sane human being ok?";"Usa l'Hypermetro come qualsiasi
essere umano sano di mente, ok?"
;;Let me explain stats:;Let me explain stats:;"Ora ti spiego le statistiche:"""
;;"\c[1]STR\c[0] is your Strength.
It determines the damage of physical
attacks and skills.";"\c[1]STR\c[0] is your Strength.
It determines the damage of physical
attacks and skills.";"\c[1]STR\c[0] è la tua Forza.
Determina il danno degli attacchi fisici
e delle abilità."
;;"\c[1]CON\c[0] is your Constitution.
It determines your physical defenses
and how much you can carry.";"\c[1]CON\c[0] is your Constitution.
It determines your physical defenses
and how much you can carry.";"\c[1]CON\c[0] è la tua Costituzione.
Determina le tue difese fisiche
e quanto puoi trasportare."
;;"\c[1]INT\c[0] is your Intelligence.
It determines the damage of magical
attacks.";"\c[1]INT\c[0] is your Intelligence.
It determines the damage of magical
attacks.";"\c[1]INT\c[0] è la tua Intelligenza.
Determina il danno degli attacchi
magici."
;;"\c[1]WIS\c[0] is your Wisdom.
It determines your magical defenses.";"\c[1]WIS\c[0] is your Wisdom.
It determines your magical defenses.";"\c[1]WIS\c[0] è la tua Saggezza.
Determina le tue difese magiche."
;;"\c[1]DEX\c[0] is your Dexterity.
It determines your turn speed.";"\c[1]DEX\c[0] is your Dexterity.
It determines your turn speed.";"\c[1]DEX\c[0] è la tua Destrezza.
Determina la tua velocità di virata."
;;"\c[1]PSI\c[0] is your Psionics.
It determines your starting AP in
battle and your AP recovery.
It also influences Psionic skills.";"\c[1]PSI\c[0] is your Psionics.
It determines your starting AP in
battle and your AP recovery.
It also influences Psionic skills.";"\c[1]PSI\c[0] è la tua abilità psionica.
Determina i tuoi PA iniziali in
battaglia e il tuo recupero di PA.
Influenza anche le abilità psioniche."
;;"You can access the \C[1]Tech tree\C[0]
in the menu or by interacting with this board.";"You can access the \C[1]Tech tree\C[0]
in the menu or by interacting with this board.";"Puoi accedere all'albero tecnologico \C[1]\C[0]
dal menu o interagendo con questa bacheca."
;;"Use materials to unlock permanents
upgrades to your stats, at higher
ranks you will need the help of
a team of researchers to advance.";"Use materials to unlock permanents
upgrades to your stats, at higher
ranks you will need the help of
a team of researchers to advance.";"Usa i materiali per sbloccare permanenti
e potenziamenti alle tue statistiche, ai livelli più alti
avrai bisogno dell'aiuto
di una squadra di ricercatori per avanzare."
;;"This is pretty self-explanatory...
I'm so imbararassed to give you this 
explanation but here we are.";"This is pretty self-explanatory...
I'm so imbararassed to give you this 
explanation but here we are.";"Questo è abbastanza autoesplicativo...
Mi imbarazza molto darti questa
spiegazione, ma eccoci qui."
;;"Put someting on the switch to 
activate it.
I know is the simplest puzzle
ever conceivable, but my job is ";"Put someting on the switch to 
activate it.
I know is the simplest puzzle
ever conceivable, but my job is ";"Metti qualcosa sull'interruttore per
attivarlo.
So che è il puzzle più semplice
che si possa immaginare, ma il mio lavoro è"
;;"to explain how it works.
Interact with movable things to
move them, or just kick them with \c[1]C\c[0]";"to explain how it works.
Interact with movable things to
move them, or just kick them with \c[1]C\c[0]";"per spiegare come funziona.
Interagisci con gli oggetti mobili per
muoverli, oppure semplicemente calciali con \c[1]C\c[0]"
;;"Let me talk to you about \C[1]Worthiness\C[0] and
some heavy stuff ok?";"Let me talk to you about \C[1]Worthiness\C[0] and
some heavy stuff ok?";"Lascia che ti parli di \C[1]Worthiness\C[0] e
di altre cose pesanti, ok?"
;;Please;Please;Prego
;;Not interested sorry;Not interested sorry;Non mi interessa, scusa
